,Location,place,Date,Temp,Wind,Humid,Cloud
0,170,완도,2019-12-01 0:00,8.0,2.1,85.0,10.0
1,170,완도,2019-12-01 1:00,8.1,1.8,82.0,10.0
2,170,완도,2019-12-01 2:00,8.0,1.2,82.0,9.0
3,170,완도,2019-12-01 3:00,7.3,1.3,89.0,9.0
4,170,완도,2019-12-01 4:00,7.2,1.2,92.0,9.0
5,170,완도,2019-12-01 5:00,8.0,0.3,81.0,10.0
6,170,완도,2019-12-01 6:00,7.6,0.3,85.0,9.0
7,170,완도,2019-12-01 7:00,7.8,1.5,78.0,10.0
8,170,완도,2019-12-01 8:00,6.9,0.9,90.0,10.0
9,170,완도,2019-12-01 9:00,7.1,0.3,87.0,10.0
10,170,완도,2019-12-01 10:00,7.5,1.2,94.0,10.0
11,170,완도,2019-12-01 11:00,7.7,0.8,95.0,10.0
12,170,완도,2019-12-01 12:00,7.8,0.8,96.0,10.0
13,170,완도,2019-12-01 13:00,7.9,1.7,98.0,10.0
14,170,완도,2019-12-01 14:00,8.2,1.6,98.0,9.0
15,170,완도,2019-12-01 15:00,8.4,0.3,98.0,10.0
16,170,완도,2019-12-01 16:00,8.4,1.3,98.0,10.0
17,170,완도,2019-12-01 17:00,8.6,2.0,98.0,10.0
18,170,완도,2019-12-01 18:00,9.0,1.6,97.0,9.0
19,170,완도,2019-12-01 19:00,8.5,1.8,96.0,10.0
20,170,완도,2019-12-01 20:00,8.3,1.6,95.0,10.0
21,170,완도,2019-12-01 21:00,8.2,1.7,93.0,9.0
22,170,완도,2019-12-01 22:00,8.3,3.0,89.0,9.0
23,170,완도,2019-12-01 23:00,8.8,3.0,81.0,10.0
24,170,완도,2019-12-02 0:00,8.7,3.9,76.0,8.0
25,170,완도,2019-12-02 1:00,8.6,2.9,79.0,8.0
26,170,완도,2019-12-02 2:00,8.7,4.0,80.0,8.0
27,170,완도,2019-12-02 3:00,8.2,4.7,83.0,10.0
28,170,완도,2019-12-02 4:00,8.0,3.9,75.0,10.0
29,170,완도,2019-12-02 5:00,7.8,3.7,67.0,8.0
30,170,완도,2019-12-02 6:00,7.6,3.3,63.0,7.0
31,170,완도,2019-12-02 7:00,7.1,3.2,61.0,3.0
32,170,완도,2019-12-02 8:00,7.3,3.4,58.0,3.0
33,170,완도,2019-12-02 9:00,8.1,3.6,59.0,5.0
34,170,완도,2019-12-02 10:00,8.2,5.0,62.0,7.0
35,170,완도,2019-12-02 11:00,7.9,4.2,63.0,8.0
36,170,완도,2019-12-02 12:00,6.9,4.7,72.0,9.0
37,170,완도,2019-12-02 13:00,7.5,3.7,68.0,9.0
38,170,완도,2019-12-02 14:00,7.8,4.7,62.0,8.0
39,170,완도,2019-12-02 15:00,7.3,3.8,66.0,8.0
40,170,완도,2019-12-02 16:00,6.6,4.0,68.0,8.0
41,170,완도,2019-12-02 17:00,6.1,4.5,71.0,6.0
42,170,완도,2019-12-02 18:00,5.9,4.3,70.0,4.0
43,170,완도,2019-12-02 19:00,6.0,4.0,58.0,0.0
44,170,완도,2019-12-02 20:00,5.4,5.6,59.0,3.0
45,170,완도,2019-12-02 21:00,4.9,4.9,55.0,2.0
46,170,완도,2019-12-02 22:00,4.9,4.8,51.0,9.0
47,170,완도,2019-12-02 23:00,5.2,4.6,56.0,8.0
48,170,완도,2019-12-03 0:00,5.2,4.6,53.0,8.0
49,170,완도,2019-12-03 1:00,4.9,3.4,59.0,7.0
50,170,완도,2019-12-03 2:00,4.9,4.2,59.0,6.0
51,170,완도,2019-12-03 3:00,5.2,4.9,65.0,8.0
52,170,완도,2019-12-03 4:00,5.5,4.1,65.0,4.0
53,170,완도,2019-12-03 5:00,5.4,4.0,55.0,6.0
54,170,완도,2019-12-03 6:00,4.8,3.0,57.0,4.0
55,170,완도,2019-12-03 7:00,5.4,3.1,54.0,8.0
56,170,완도,2019-12-03 8:00,6.1,2.6,53.0,8.0
57,170,완도,2019-12-03 9:00,6.3,2.0,61.0,8.0
58,170,완도,2019-12-03 10:00,7.1,1.1,64.0,7.0
59,170,완도,2019-12-03 11:00,7.7,0.4,63.0,7.0
60,170,완도,2019-12-03 12:00,8.1,2.1,56.0,7.0
61,170,완도,2019-12-03 13:00,8.5,3.3,56.0,10.0
62,170,완도,2019-12-03 14:00,8.0,4.1,60.0,8.0
63,170,완도,2019-12-03 15:00,8.5,4.2,58.0,8.0
64,170,완도,2019-12-03 16:00,8.4,5.2,51.0,8.0
65,170,완도,2019-12-03 17:00,7.5,4.2,49.0,7.0
66,170,완도,2019-12-03 18:00,7.1,3.9,53.0,3.0
67,170,완도,2019-12-03 19:00,5.9,1.7,60.0,0.0
68,170,완도,2019-12-03 20:00,5.3,1.7,63.0,0.0
69,170,완도,2019-12-03 21:00,5.9,2.2,61.0,0.0
70,170,완도,2019-12-03 22:00,5.7,2.2,62.0,0.0
71,170,완도,2019-12-03 23:00,5.2,1.1,67.0,1.0
72,170,완도,2019-12-04 0:00,4.3,0.7,73.0,3.0
73,170,완도,2019-12-04 1:00,4.9,2.0,69.0,1.0
74,170,완도,2019-12-04 2:00,5.5,2.8,69.0,0.0
75,170,완도,2019-12-04 3:00,5.9,2.2,63.0,2.0
76,170,완도,2019-12-04 4:00,5.1,0.5,70.0,0.0
77,170,완도,2019-12-04 5:00,5.9,0.5,72.0,2.0
78,170,완도,2019-12-04 6:00,6.3,2.8,62.0,1.0
79,170,완도,2019-12-04 7:00,4.0,2.8,84.0,0.0
80,170,완도,2019-12-04 8:00,4.9,0.1,81.0,8.0
81,170,완도,2019-12-04 9:00,5.8,0.7,84.0,9.0
82,170,완도,2019-12-04 10:00,6.6,1.0,83.0,7.0
83,170,완도,2019-12-04 11:00,9.0,0.6,68.0,3.0
84,170,완도,2019-12-04 12:00,11.3,0.9,51.0,3.0
85,170,완도,2019-12-04 13:00,11.7,2.1,48.0,5.0
86,170,완도,2019-12-04 14:00,11.5,2.6,52.0,7.0
87,170,완도,2019-12-04 15:00,12.3,4.0,45.0,4.0
88,170,완도,2019-12-04 16:00,11.2,2.2,44.0,3.0
89,170,완도,2019-12-04 17:00,10.0,2.9,50.0,1.0
90,170,완도,2019-12-04 18:00,9.3,2.2,53.0,1.0
91,170,완도,2019-12-04 19:00,7.8,2.3,60.0,0.0
92,170,완도,2019-12-04 20:00,7.7,3.0,59.0,0.0
93,170,완도,2019-12-04 21:00,7.5,2.6,58.0,0.0
94,170,완도,2019-12-04 22:00,7.7,2.3,58.0,0.0
95,170,완도,2019-12-04 23:00,6.0,1.6,78.0,0.0
96,170,완도,2019-12-05 0:00,6.8,0.5,62.0,2.0
97,170,완도,2019-12-05 1:00,8.1,3.3,51.0,0.0
98,170,완도,2019-12-05 2:00,7.2,2.8,57.0,0.0
99,170,완도,2019-12-05 3:00,5.7,0.7,65.0,1.0
100,170,완도,2019-12-05 4:00,6.4,0.4,67.0,0.0
101,170,완도,2019-12-05 5:00,5.0,1.8,86.0,0.0
102,170,완도,2019-12-05 6:00,3.7,1.3,87.0,0.0
103,170,완도,2019-12-05 7:00,5.1,0.7,72.0,0.0
104,170,완도,2019-12-05 8:00,5.2,0.6,68.0,0.0
105,170,완도,2019-12-05 9:00,6.3,1.6,57.0,3.0
106,170,완도,2019-12-05 10:00,7.4,0.4,52.0,1.0
107,170,완도,2019-12-05 11:00,6.5,3.5,49.0,4.0
108,170,완도,2019-12-05 12:00,6.7,4.5,44.0,4.0
109,170,완도,2019-12-05 13:00,6.9,4.4,40.0,1.0
110,170,완도,2019-12-05 14:00,6.7,2.7,41.0,3.0
111,170,완도,2019-12-05 15:00,6.1,4.3,44.0,0.0
112,170,완도,2019-12-05 16:00,5.8,4.3,46.0,4.0
113,170,완도,2019-12-05 17:00,4.8,4.0,54.0,2.0
114,170,완도,2019-12-05 18:00,3.8,3.5,60.0,6.0
115,170,완도,2019-12-05 19:00,3.2,3.3,69.0,7.0
116,170,완도,2019-12-05 20:00,3.0,4.2,70.0,7.0
117,170,완도,2019-12-05 21:00,2.7,4.9,67.0,8.0
118,170,완도,2019-12-05 22:00,2.4,4.5,60.0,6.0
119,170,완도,2019-12-05 23:00,2.0,4.1,58.0,8.0
120,170,완도,2019-12-06 0:00,1.5,2.7,58.0,2.0
121,170,완도,2019-12-06 1:00,0.7,3.8,58.0,0.0
122,170,완도,2019-12-06 2:00,0.2,3.4,60.0,0.0
123,170,완도,2019-12-06 3:00,-0.3,2.2,65.0,6.0
124,170,완도,2019-12-06 4:00,-0.4,2.6,66.0,6.0
125,170,완도,2019-12-06 5:00,-0.4,1.5,63.0,8.0
126,170,완도,2019-12-06 6:00,-0.6,2.6,56.0,7.0
127,170,완도,2019-12-06 7:00,-0.5,2.7,42.0,10.0
128,170,완도,2019-12-06 8:00,-0.5,2.6,34.0,9.0
129,170,완도,2019-12-06 9:00,-0.2,2.8,35.0,8.0
130,170,완도,2019-12-06 10:00,0.2,4.8,34.0,6.0
131,170,완도,2019-12-06 11:00,1.5,2.2,41.0,8.0
132,170,완도,2019-12-06 12:00,1.4,5.3,36.0,6.0
133,170,완도,2019-12-06 13:00,2.7,2.6,41.0,8.0
134,170,완도,2019-12-06 14:00,3.3,3.3,32.0,7.0
135,170,완도,2019-12-06 15:00,2.8,3.9,24.0,5.0
136,170,완도,2019-12-06 16:00,3.0,3.7,30.0,7.0
137,170,완도,2019-12-06 17:00,2.6,3.4,34.0,7.0
138,170,완도,2019-12-06 18:00,2.0,2.8,38.0,6.0
139,170,완도,2019-12-06 19:00,1.1,1.8,47.0,0.0
140,170,완도,2019-12-06 20:00,0.8,2.0,52.0,0.0
141,170,완도,2019-12-06 21:00,0.6,3.4,48.0,0.0
142,170,완도,2019-12-06 22:00,0.3,2.3,48.0,0.0
143,170,완도,2019-12-06 23:00,-0.2,1.7,44.0,0.0
144,170,완도,2019-12-07 0:00,-1.5,1.4,44.0,1.0
145,170,완도,2019-12-07 1:00,-0.9,0.5,47.0,0.0
146,170,완도,2019-12-07 2:00,-0.8,1.0,54.0,0.0
147,170,완도,2019-12-07 3:00,0.1,1.4,62.0,0.0
148,170,완도,2019-12-07 4:00,-0.1,1.1,63.0,0.0
149,170,완도,2019-12-07 5:00,0.9,2.3,55.0,0.0
150,170,완도,2019-12-07 6:00,-0.3,1.3,58.0,1.0
151,170,완도,2019-12-07 7:00,0.5,0.6,58.0,1.0
152,170,완도,2019-12-07 8:00,1.4,0.9,59.0,1.0
153,170,완도,2019-12-07 9:00,3.4,0.6,55.0,0.0
154,170,완도,2019-12-07 10:00,4.6,0.7,51.0,0.0
155,170,완도,2019-12-07 11:00,6.3,2.4,49.0,1.0
156,170,완도,2019-12-07 12:00,7.4,2.7,46.0,1.0
157,170,완도,2019-12-07 13:00,8.2,3.4,51.0,2.0
158,170,완도,2019-12-07 14:00,7.9,3.8,51.0,1.0
159,170,완도,2019-12-07 15:00,8.3,3.3,49.0,1.0
160,170,완도,2019-12-07 16:00,8.1,4.1,50.0,0.0
161,170,완도,2019-12-07 17:00,6.9,3.2,57.0,0.0
162,170,완도,2019-12-07 18:00,6.5,2.5,60.0,0.0
163,170,완도,2019-12-07 19:00,5.4,2.5,65.0,0.0
164,170,완도,2019-12-07 20:00,5.3,2.6,60.0,5.0
165,170,완도,2019-12-07 21:00,5.3,2.7,61.0,0.0
166,170,완도,2019-12-07 22:00,5.8,2.9,62.0,9.0
167,170,완도,2019-12-07 23:00,6.8,3.9,62.0,9.0
168,170,완도,2019-12-08 0:00,6.3,2.6,68.0,9.0
169,170,완도,2019-12-08 1:00,5.8,2.3,72.0,7.0
170,170,완도,2019-12-08 2:00,6.7,3.0,64.0,1.0
171,170,완도,2019-12-08 3:00,6.1,2.7,66.0,0.0
172,170,완도,2019-12-08 4:00,5.9,2.9,63.0,0.0
173,170,완도,2019-12-08 5:00,5.6,2.8,61.0,0.0
174,170,완도,2019-12-08 6:00,5.0,2.0,63.0,0.0
175,170,완도,2019-12-08 7:00,5.1,2.0,63.0,0.0
176,170,완도,2019-12-08 8:00,5.3,2.0,63.0,0.0
177,170,완도,2019-12-08 9:00,5.9,2.1,62.0,0.0
178,170,완도,2019-12-08 10:00,6.5,2.5,58.0,0.0
179,170,완도,2019-12-08 11:00,7.5,2.3,57.0,0.0
180,170,완도,2019-12-08 12:00,8.1,2.2,54.0,0.0
181,170,완도,2019-12-08 13:00,8.9,1.7,53.0,0.0
182,170,완도,2019-12-08 14:00,9.2,1.9,52.0,0.0
183,170,완도,2019-12-08 15:00,9.4,1.6,52.0,0.0
184,170,완도,2019-12-08 16:00,8.6,2.6,57.0,0.0
185,170,완도,2019-12-08 17:00,6.8,1.6,65.0,0.0
186,170,완도,2019-12-08 18:00,5.4,2.1,69.0,0.0
187,170,완도,2019-12-08 19:00,4.7,1.9,71.0,0.0
188,170,완도,2019-12-08 20:00,4.2,1.9,74.0,0.0
189,170,완도,2019-12-08 21:00,3.6,0.7,77.0,0.0
190,170,완도,2019-12-08 22:00,3.0,0.6,81.0,1.0
191,170,완도,2019-12-08 23:00,2.6,1.0,79.0,3.0
192,170,완도,2019-12-09 0:00,1.8,1.0,82.0,1.0
193,170,완도,2019-12-09 1:00,2.1,1.3,80.0,6.0
194,170,완도,2019-12-09 2:00,3.4,1.1,81.0,0.0
195,170,완도,2019-12-09 3:00,2.1,2.2,90.0,0.0
196,170,완도,2019-12-09 4:00,2.1,0.0,89.0,0.0
197,170,완도,2019-12-09 5:00,1.1,0.9,92.0,0.0
198,170,완도,2019-12-09 6:00,1.6,1.1,90.0,0.0
199,170,완도,2019-12-09 7:00,1.7,0.6,89.0,2.0
200,170,완도,2019-12-09 8:00,2.0,0.0,92.0,0.0
201,170,완도,2019-12-09 9:00,3.5,0.4,86.0,1.0
202,170,완도,2019-12-09 10:00,5.9,1.5,80.0,6.0
203,170,완도,2019-12-09 11:00,6.1,1.0,71.0,6.0
204,170,완도,2019-12-09 12:00,7.8,0.7,69.0,2.0
205,170,완도,2019-12-09 13:00,9.0,0.8,68.0,4.0
206,170,완도,2019-12-09 14:00,11.1,1.3,58.0,6.0
207,170,완도,2019-12-09 15:00,12.7,2.0,54.0,5.0
208,170,완도,2019-12-09 16:00,12.2,1.7,57.0,0.0
209,170,완도,2019-12-09 17:00,9.2,2.1,72.0,0.0
210,170,완도,2019-12-09 18:00,8.1,2.7,76.0,0.0
211,170,완도,2019-12-09 19:00,7.8,1.7,79.0,0.0
212,170,완도,2019-12-09 20:00,7.5,0.9,81.0,1.0
213,170,완도,2019-12-09 21:00,7.0,0.3,90.0,3.0
214,170,완도,2019-12-09 22:00,6.3,0.5,89.0,0.0
215,170,완도,2019-12-09 23:00,6.6,0.0,90.0,0.0
216,170,완도,2019-12-10 0:00,5.8,0.8,95.0,0.0
217,170,완도,2019-12-10 1:00,5.4,1.5,96.0,0.0
218,170,완도,2019-12-10 2:00,4.9,1.1,96.0,10.0
219,170,완도,2019-12-10 3:00,4.8,1.2,98.0,9.0
220,170,완도,2019-12-10 4:00,4.6,1.3,98.0,9.0
221,170,완도,2019-12-10 5:00,4.8,0.0,98.0,7.0
222,170,완도,2019-12-10 6:00,3.9,1.4,98.0,3.0
223,170,완도,2019-12-10 7:00,4.4,0.7,99.0,9.0
224,170,완도,2019-12-10 8:00,5.0,0.6,99.0,4.0
225,170,완도,2019-12-10 9:00,6.6,0.5,98.0,5.0
226,170,완도,2019-12-10 10:00,7.6,0.9,91.0,6.0
227,170,완도,2019-12-10 11:00,8.8,0.5,84.0,5.0
228,170,완도,2019-12-10 12:00,11.0,0.5,74.0,4.0
229,170,완도,2019-12-10 13:00,13.1,1.4,71.0,3.0
230,170,완도,2019-12-10 14:00,16.3,2.5,57.0,3.0
231,170,완도,2019-12-10 15:00,16.1,2.4,59.0,3.0
232,170,완도,2019-12-10 16:00,15.1,2.6,61.0,4.0
233,170,완도,2019-12-10 17:00,13.1,1.2,70.0,2.0
234,170,완도,2019-12-10 18:00,11.3,0.7,77.0,6.0
235,170,완도,2019-12-10 19:00,10.8,0.9,83.0,0.0
236,170,완도,2019-12-10 20:00,9.7,0.0,88.0,2.0
237,170,완도,2019-12-10 21:00,9.3,0.1,91.0,7.0
238,170,완도,2019-12-10 22:00,9.1,0.7,93.0,1.0
239,170,완도,2019-12-10 23:00,8.8,1.0,95.0,2.0
240,170,완도,2019-12-11 0:00,8.0,0.9,96.0,4.0
241,170,완도,2019-12-11 1:00,8.1,0.1,98.0,5.0
242,170,완도,2019-12-11 2:00,7.8,0.0,98.0,6.0
243,170,완도,2019-12-11 3:00,7.4,0.2,99.0,6.0
244,170,완도,2019-12-11 4:00,7.0,0.3,99.0,9.0
245,170,완도,2019-12-11 5:00,6.8,1.1,99.0,7.0
246,170,완도,2019-12-11 6:00,6.8,1.3,99.0,9.0
247,170,완도,2019-12-11 7:00,6.6,1.0,99.0,7.0
248,170,완도,2019-12-11 8:00,7.3,0.6,99.0,8.0
249,170,완도,2019-12-11 9:00,8.1,0.1,99.0,6.0
250,170,완도,2019-12-11 10:00,9.5,0.5,96.0,6.0
251,170,완도,2019-12-11 11:00,10.6,0.6,87.0,6.0
252,170,완도,2019-12-11 12:00,15.6,2.6,70.0,5.0
253,170,완도,2019-12-11 13:00,16.4,3.1,61.0,3.0
254,170,완도,2019-12-11 14:00,14.3,5.1,73.0,6.0
255,170,완도,2019-12-11 15:00,12.2,4.6,76.0,9.0
256,170,완도,2019-12-11 16:00,10.8,5.6,73.0,9.0
257,170,완도,2019-12-11 17:00,10.1,3.3,64.0,3.0
258,170,완도,2019-12-11 18:00,9.4,3.6,60.0,4.0
259,170,완도,2019-12-11 19:00,8.7,4.6,64.0,3.0
260,170,완도,2019-12-11 20:00,7.4,3.3,61.0,0.0
261,170,완도,2019-12-11 21:00,7.1,3.1,61.0,0.0
262,170,완도,2019-12-11 22:00,7.1,3.9,57.0,0.0
263,170,완도,2019-12-11 23:00,6.8,4.6,59.0,2.0
264,170,완도,2019-12-12 0:00,6.7,4.1,60.0,1.0
265,170,완도,2019-12-12 1:00,6.5,2.8,63.0,0.0
266,170,완도,2019-12-12 2:00,6.2,3.9,67.0,6.0
267,170,완도,2019-12-12 3:00,6.4,2.7,69.0,9.0
268,170,완도,2019-12-12 4:00,6.2,3.4,66.0,4.0
269,170,완도,2019-12-12 5:00,5.9,2.8,63.0,0.0
270,170,완도,2019-12-12 6:00,5.6,3.3,60.0,0.0
271,170,완도,2019-12-12 7:00,5.5,2.7,55.0,0.0
272,170,완도,2019-12-12 8:00,5.7,2.1,50.0,0.0
273,170,완도,2019-12-12 9:00,5.6,3.0,57.0,4.0
274,170,완도,2019-12-12 10:00,6.2,2.2,53.0,3.0
275,170,완도,2019-12-12 11:00,7.7,1.7,51.0,4.0
276,170,완도,2019-12-12 12:00,7.6,2.6,44.0,0.0
277,170,완도,2019-12-12 13:00,7.8,2.8,44.0,1.0
278,170,완도,2019-12-12 14:00,8.8,1.9,43.0,2.0
279,170,완도,2019-12-12 15:00,8.5,2.8,46.0,0.0
280,170,완도,2019-12-12 16:00,7.8,2.8,50.0,0.0
281,170,완도,2019-12-12 17:00,6.2,3.3,55.0,0.0
282,170,완도,2019-12-12 18:00,5.3,2.4,55.0,0.0
283,170,완도,2019-12-12 19:00,5.0,1.5,59.0,4.0
284,170,완도,2019-12-12 20:00,4.4,2.1,56.0,4.0
285,170,완도,2019-12-12 21:00,3.1,0.8,61.0,2.0
286,170,완도,2019-12-12 22:00,1.7,1.0,67.0,5.0
287,170,완도,2019-12-12 23:00,2.4,1.2,59.0,9.0
288,170,완도,2019-12-13 0:00,2.6,0.7,59.0,7.0
289,170,완도,2019-12-13 1:00,2.2,1.0,58.0,10.0
290,170,완도,2019-12-13 2:00,1.9,1.2,61.0,8.0
291,170,완도,2019-12-13 3:00,0.5,1.4,69.0,9.0
292,170,완도,2019-12-13 4:00,0.3,1.2,67.0,8.0
293,170,완도,2019-12-13 5:00,-0.1,1.2,74.0,4.0
294,170,완도,2019-12-13 6:00,-0.7,1.8,78.0,5.0
295,170,완도,2019-12-13 7:00,-0.2,1.3,78.0,1.0
296,170,완도,2019-12-13 8:00,-0.5,1.8,81.0,5.0
297,170,완도,2019-12-13 9:00,2.4,0.3,75.0,7.0
298,170,완도,2019-12-13 10:00,4.1,0.7,66.0,8.0
299,170,완도,2019-12-13 11:00,5.8,1.1,64.0,5.0
300,170,완도,2019-12-13 12:00,6.7,0.7,45.0,6.0
301,170,완도,2019-12-13 13:00,7.9,1.3,59.0,8.0
302,170,완도,2019-12-13 14:00,9.8,1.3,49.0,8.0
303,170,완도,2019-12-13 15:00,10.0,0.8,60.0,8.0
304,170,완도,2019-12-13 16:00,9.9,1.1,63.0,6.0
305,170,완도,2019-12-13 17:00,9.2,1.9,65.0,6.0
306,170,완도,2019-12-13 18:00,8.3,1.8,68.0,0.0
307,170,완도,2019-12-13 19:00,7.5,1.8,71.0,4.0
308,170,완도,2019-12-13 20:00,6.3,0.9,78.0,5.0
309,170,완도,2019-12-13 21:00,6.1,0.5,80.0,9.0
310,170,완도,2019-12-13 22:00,6.0,0.0,84.0,8.0
311,170,완도,2019-12-13 23:00,6.1,0.6,85.0,8.0
312,170,완도,2019-12-14 0:00,7.0,0.2,82.0,9.0
313,170,완도,2019-12-14 1:00,8.2,2.0,72.0,9.0
314,170,완도,2019-12-14 2:00,8.7,2.9,74.0,4.0
315,170,완도,2019-12-14 3:00,7.7,3.4,80.0,2.0
316,170,완도,2019-12-14 4:00,10.2,3.4,74.0,0.0
317,170,완도,2019-12-14 5:00,9.6,2.5,79.0,8.0
318,170,완도,2019-12-14 6:00,8.7,2.0,83.0,9.0
319,170,완도,2019-12-14 7:00,8.8,3.0,81.0,10.0
320,170,완도,2019-12-14 8:00,8.4,3.8,74.0,9.0
321,170,완도,2019-12-14 9:00,8.5,3.3,64.0,3.0
322,170,완도,2019-12-14 10:00,8.9,2.6,60.0,0.0
323,170,완도,2019-12-14 11:00,8.9,3.0,58.0,0.0
324,170,완도,2019-12-14 12:00,9.4,2.8,51.0,0.0
325,170,완도,2019-12-14 13:00,10.0,3.0,49.0,4.0
326,170,완도,2019-12-14 14:00,10.3,2.4,49.0,6.0
327,170,완도,2019-12-14 15:00,10.3,2.2,42.0,6.0
328,170,완도,2019-12-14 16:00,9.8,2.2,40.0,6.0
329,170,완도,2019-12-14 17:00,8.6,2.6,47.0,6.0
330,170,완도,2019-12-14 18:00,6.7,1.0,56.0,7.0
331,170,완도,2019-12-14 19:00,5.9,1.3,56.0,6.0
332,170,완도,2019-12-14 20:00,4.9,0.9,58.0,10.0
333,170,완도,2019-12-14 21:00,5.2,1.2,51.0,10.0
334,170,완도,2019-12-14 22:00,3.9,1.4,58.0,6.0
335,170,완도,2019-12-14 23:00,3.6,1.1,61.0,10.0
336,170,완도,2019-12-15 0:00,3.0,1.3,66.0,0.0
337,170,완도,2019-12-15 1:00,2.7,1.5,68.0,8.0
338,170,완도,2019-12-15 2:00,4.5,0.9,56.0,7.0
339,170,완도,2019-12-15 3:00,5.2,0.5,58.0,4.0
340,170,완도,2019-12-15 4:00,4.0,0.0,58.0,0.0
341,170,완도,2019-12-15 5:00,3.9,0.6,65.0,0.0
342,170,완도,2019-12-15 6:00,3.2,1.6,72.0,0.0
343,170,완도,2019-12-15 7:00,3.6,1.3,72.0,0.0
344,170,완도,2019-12-15 8:00,5.0,0.8,67.0,0.0
345,170,완도,2019-12-15 9:00,7.5,0.5,63.0,0.0
346,170,완도,2019-12-15 10:00,9.0,0.8,54.0,1.0
347,170,완도,2019-12-15 11:00,10.1,1.0,58.0,5.0
348,170,완도,2019-12-15 12:00,13.6,2.6,54.0,2.0
349,170,완도,2019-12-15 13:00,14.5,4.6,53.0,4.0
350,170,완도,2019-12-15 14:00,14.3,3.7,54.0,3.0
351,170,완도,2019-12-15 15:00,13.5,3.9,57.0,7.0
352,170,완도,2019-12-15 16:00,12.7,4.2,62.0,7.0
353,170,완도,2019-12-15 17:00,12.2,4.1,64.0,8.0
354,170,완도,2019-12-15 18:00,11.2,3.2,69.0,8.0
355,170,완도,2019-12-15 19:00,10.7,3.4,72.0,8.0
356,170,완도,2019-12-15 20:00,10.6,2.9,72.0,8.0
357,170,완도,2019-12-15 21:00,10.5,3.1,71.0,6.0
358,170,완도,2019-12-15 22:00,9.8,2.9,73.0,5.0
359,170,완도,2019-12-15 23:00,9.3,2.7,76.0,0.0
360,170,완도,2019-12-16 0:00,9.2,3.3,78.0,0.0
361,170,완도,2019-12-16 1:00,8.2,2.2,83.0,3.0
362,170,완도,2019-12-16 2:00,7.7,1.6,86.0,8.0
363,170,완도,2019-12-16 3:00,8.0,2.0,84.0,8.0
364,170,완도,2019-12-16 4:00,8.5,1.5,80.0,9.0
365,170,완도,2019-12-16 5:00,8.7,1.6,83.0,9.0
366,170,완도,2019-12-16 6:00,8.4,1.4,85.0,2.0
367,170,완도,2019-12-16 7:00,8.4,1.5,85.0,8.0
368,170,완도,2019-12-16 8:00,8.5,0.9,85.0,8.0
369,170,완도,2019-12-16 9:00,10.0,1.7,78.0,7.0
370,170,완도,2019-12-16 10:00,11.3,1.7,68.0,3.0
371,170,완도,2019-12-16 11:00,12.1,1.7,67.0,4.0
372,170,완도,2019-12-16 12:00,13.4,2.0,64.0,3.0
373,170,완도,2019-12-16 13:00,14.4,2.6,63.0,5.0
374,170,완도,2019-12-16 14:00,15.5,4.0,57.0,4.0
375,170,완도,2019-12-16 15:00,15.1,2.5,56.0,7.0
376,170,완도,2019-12-16 16:00,14.0,4.0,58.0,4.0
377,170,완도,2019-12-16 17:00,12.2,3.2,62.0,6.0
378,170,완도,2019-12-16 18:00,10.6,3.7,71.0,1.0
379,170,완도,2019-12-16 19:00,9.4,2.2,77.0,4.0
380,170,완도,2019-12-16 20:00,9.6,0.6,82.0,0.0
381,170,완도,2019-12-16 21:00,10.1,0.7,78.0,0.0
382,170,완도,2019-12-16 22:00,9.5,0.7,85.0,2.0
383,170,완도,2019-12-16 23:00,8.5,0.9,90.0,0.0
384,170,완도,2019-12-17 0:00,8.7,1.2,94.0,4.0
385,170,완도,2019-12-17 1:00,9.4,1.3,93.0,10.0
386,170,완도,2019-12-17 2:00,9.3,1.0,93.0,9.0
387,170,완도,2019-12-17 3:00,9.2,1.1,93.0,5.0
388,170,완도,2019-12-17 4:00,9.4,1.8,95.0,5.0
389,170,완도,2019-12-17 5:00,9.7,1.8,96.0,7.0
390,170,완도,2019-12-17 6:00,9.4,1.2,97.0,9.0
391,170,완도,2019-12-17 7:00,9.8,1.2,97.0,9.0
392,170,완도,2019-12-17 8:00,9.7,1.1,96.0,8.0
393,170,완도,2019-12-17 9:00,10.0,0.5,94.0,9.0
394,170,완도,2019-12-17 10:00,10.2,0.5,96.0,10.0
395,170,완도,2019-12-17 11:00,10.3,0.3,95.0,10.0
396,170,완도,2019-12-17 12:00,10.6,0.9,93.0,10.0
397,170,완도,2019-12-17 13:00,10.7,0.7,92.0,9.0
398,170,완도,2019-12-17 14:00,10.9,0.2,95.0,9.0
399,170,완도,2019-12-17 15:00,12.7,3.8,97.0,9.0
400,170,완도,2019-12-17 16:00,11.2,5.2,92.0,9.0
401,170,완도,2019-12-17 17:00,10.9,3.7,88.0,9.0
402,170,완도,2019-12-17 18:00,10.6,3.3,84.0,9.0
403,170,완도,2019-12-17 19:00,10.3,4.0,80.0,9.0
404,170,완도,2019-12-17 20:00,9.7,3.7,82.0,9.0
405,170,완도,2019-12-17 21:00,9.6,4.1,74.0,10.0
406,170,완도,2019-12-17 22:00,9.2,4.5,75.0,10.0
407,170,완도,2019-12-17 23:00,9.1,3.8,74.0,10.0
408,170,완도,2019-12-18 0:00,8.8,4.9,76.0,9.0
409,170,완도,2019-12-18 1:00,8.7,3.9,73.0,8.0
