,Location,place,Date,Temp,Wind,Humid,Cloud
0,236,부여,2019-12-01 0:00,6.0,0.2,70.0,10.0
1,236,부여,2019-12-01 1:00,5.1,0.3,75.0,10.0
2,236,부여,2019-12-01 2:00,4.8,0.0,80.0,9.0
3,236,부여,2019-12-01 3:00,4.1,0.1,84.0,9.5
4,236,부여,2019-12-01 4:00,4.5,0.1,83.0,10.0
5,236,부여,2019-12-01 5:00,4.2,0.1,84.0,9.0
6,236,부여,2019-12-01 6:00,3.9,0.0,89.0,10.0
7,236,부여,2019-12-01 7:00,3.6,0.0,88.0,10.0
8,236,부여,2019-12-01 8:00,4.1,0.0,86.0,10.0
9,236,부여,2019-12-01 9:00,5.5,0.1,80.0,10.0
10,236,부여,2019-12-01 10:00,6.3,0.3,73.0,10.0
11,236,부여,2019-12-01 11:00,6.9,1.8,75.0,10.0
12,236,부여,2019-12-01 12:00,6.9,1.1,82.0,10.0
13,236,부여,2019-12-01 13:00,6.7,0.8,87.0,10.0
14,236,부여,2019-12-01 14:00,6.6,0.1,95.0,10.0
15,236,부여,2019-12-01 15:00,6.4,1.4,96.0,10.0
16,236,부여,2019-12-01 16:00,6.2,1.3,97.0,10.0
17,236,부여,2019-12-01 17:00,6.2,0.9,97.0,10.0
18,236,부여,2019-12-01 18:00,6.1,0.7,97.0,10.0
19,236,부여,2019-12-01 19:00,6.0,0.5,97.0,10.0
20,236,부여,2019-12-01 20:00,6.0,1.1,98.0,10.0
21,236,부여,2019-12-01 21:00,5.8,0.7,99.0,10.0
22,236,부여,2019-12-01 22:00,5.6,1.1,98.0,9.0
23,236,부여,2019-12-01 23:00,5.9,0.0,98.0,9.0
24,236,부여,2019-12-02 0:00,5.6,1.7,96.0,10.0
25,236,부여,2019-12-02 1:00,5.0,1.7,83.0,9.0
26,236,부여,2019-12-02 2:00,4.7,1.2,76.0,9.0
27,236,부여,2019-12-02 3:00,2.8,0.4,92.0,9.0
28,236,부여,2019-12-02 4:00,2.7,0.1,92.0,10.0
29,236,부여,2019-12-02 5:00,2.2,0.0,94.0,1.0
30,236,부여,2019-12-02 6:00,2.8,0.2,88.0,9.0
31,236,부여,2019-12-02 7:00,2.2,0.1,94.0,7.0
32,236,부여,2019-12-02 8:00,4.2,1.3,66.0,9.0
33,236,부여,2019-12-02 9:00,5.1,2.4,56.0,1.0
34,236,부여,2019-12-02 10:00,5.7,2.6,54.0,1.0
35,236,부여,2019-12-02 11:00,6.6,3.7,50.0,7.0
36,236,부여,2019-12-02 12:00,7.1,3.0,42.0,3.0
37,236,부여,2019-12-02 13:00,7.2,4.1,37.0,5.0
38,236,부여,2019-12-02 14:00,7.0,4.5,41.0,7.0
39,236,부여,2019-12-02 15:00,5.4,3.1,48.0,7.0
40,236,부여,2019-12-02 16:00,4.7,2.2,53.0,7.0
41,236,부여,2019-12-02 17:00,3.5,2.8,59.0,4.0
42,236,부여,2019-12-02 18:00,2.4,0.9,68.0,0.0
43,236,부여,2019-12-02 19:00,2.7,1.5,61.0,2.0
44,236,부여,2019-12-02 20:00,2.5,2.2,56.0,5.0
45,236,부여,2019-12-02 21:00,2.0,1.8,57.0,6.0
46,236,부여,2019-12-02 22:00,1.6,0.8,59.0,2.0
47,236,부여,2019-12-02 23:00,1.2,0.5,64.0,8.0
48,236,부여,2019-12-03 0:00,0.9,1.2,74.0,9.0
49,236,부여,2019-12-03 1:00,0.3,0.1,84.0,9.0
50,236,부여,2019-12-03 2:00,0.1,0.6,88.0,9.0
51,236,부여,2019-12-03 3:00,0.0,1.2,86.0,7.0
52,236,부여,2019-12-03 4:00,-1.1,0.5,91.0,4.0
53,236,부여,2019-12-03 5:00,-2.2,0.6,94.0,0.0
54,236,부여,2019-12-03 6:00,-1.9,0.1,95.0,0.0
55,236,부여,2019-12-03 7:00,-1.9,0.3,95.0,6.0
56,236,부여,2019-12-03 8:00,-1.5,0.4,94.0,8.0
57,236,부여,2019-12-03 9:00,0.1,1.4,90.0,9.0
58,236,부여,2019-12-03 10:00,1.3,0.6,75.0,8.0
59,236,부여,2019-12-03 11:00,3.2,1.1,71.0,8.0
60,236,부여,2019-12-03 12:00,4.0,0.8,68.0,8.0
61,236,부여,2019-12-03 13:00,5.4,1.7,67.0,8.0
62,236,부여,2019-12-03 14:00,7.4,2.0,65.0,9.0
63,236,부여,2019-12-03 15:00,6.1,1.4,71.0,9.0
64,236,부여,2019-12-03 16:00,6.3,0.9,73.0,9.0
65,236,부여,2019-12-03 17:00,6.0,0.7,76.0,9.0
66,236,부여,2019-12-03 18:00,5.4,1.7,80.0,3.0
67,236,부여,2019-12-03 19:00,4.2,1.1,84.0,1.0
68,236,부여,2019-12-03 20:00,2.3,0.3,92.0,4.0
69,236,부여,2019-12-03 21:00,1.8,0.0,95.0,0.0
70,236,부여,2019-12-03 22:00,0.3,0.1,97.0,0.0
71,236,부여,2019-12-03 23:00,0.0,0.0,98.0,0.0
72,236,부여,2019-12-04 0:00,-0.9,0.0,98.0,3.0
73,236,부여,2019-12-04 1:00,-1.3,0.2,98.0,7.0
74,236,부여,2019-12-04 2:00,-0.6,0.0,99.0,9.0
75,236,부여,2019-12-04 3:00,0.5,0.4,98.0,9.0
76,236,부여,2019-12-04 4:00,2.9,2.1,88.0,9.0
77,236,부여,2019-12-04 5:00,2.3,0.1,95.0,9.0
78,236,부여,2019-12-04 6:00,1.7,0.8,96.0,8.0
79,236,부여,2019-12-04 7:00,0.3,0.0,99.0,0.0
80,236,부여,2019-12-04 8:00,0.3,0.0,99.0,0.0
81,236,부여,2019-12-04 9:00,2.2,0.0,98.0,1.0
82,236,부여,2019-12-04 10:00,4.7,0.4,86.0,3.0
83,236,부여,2019-12-04 11:00,6.9,0.8,60.0,1.0
84,236,부여,2019-12-04 12:00,8.3,1.7,41.0,1.0
85,236,부여,2019-12-04 13:00,9.2,1.8,40.0,1.0
86,236,부여,2019-12-04 14:00,10.2,2.0,42.0,0.0
87,236,부여,2019-12-04 15:00,9.5,2.0,36.0,5.0
88,236,부여,2019-12-04 16:00,9.9,2.2,37.0,6.0
89,236,부여,2019-12-04 17:00,8.7,2.9,47.0,6.0
90,236,부여,2019-12-04 18:00,7.7,1.4,55.0,9.0
91,236,부여,2019-12-04 19:00,5.8,1.8,80.0,9.0
92,236,부여,2019-12-04 20:00,3.8,0.3,97.0,1.0
93,236,부여,2019-12-04 21:00,3.4,0.0,99.0,9.0
94,236,부여,2019-12-04 22:00,3.2,0.2,99.0,3.0
95,236,부여,2019-12-04 23:00,2.6,1.7,99.0,5.0
96,236,부여,2019-12-05 0:00,2.4,0.1,99.0,0.0
97,236,부여,2019-12-05 1:00,2.5,0.9,92.0,0.0
98,236,부여,2019-12-05 2:00,1.2,0.7,83.0,0.0
99,236,부여,2019-12-05 3:00,0.5,0.8,87.0,4.0
100,236,부여,2019-12-05 4:00,0.4,0.4,82.0,7.0
101,236,부여,2019-12-05 5:00,-0.9,0.7,77.0,0.0
102,236,부여,2019-12-05 6:00,-1.9,0.8,72.0,0.0
103,236,부여,2019-12-05 7:00,-1.8,0.8,62.0,0.0
104,236,부여,2019-12-05 8:00,-1.2,0.8,49.0,0.0
105,236,부여,2019-12-05 9:00,0.4,1.1,44.0,1.0
106,236,부여,2019-12-05 10:00,1.4,2.6,42.0,0.0
107,236,부여,2019-12-05 11:00,2.3,2.6,42.0,1.0
108,236,부여,2019-12-05 12:00,3.2,2.2,41.0,0.0
109,236,부여,2019-12-05 13:00,3.7,2.1,42.0,1.0
110,236,부여,2019-12-05 14:00,3.3,2.6,44.0,8.0
111,236,부여,2019-12-05 15:00,3.1,3.3,44.0,3.0
112,236,부여,2019-12-05 16:00,2.2,3.7,49.0,6.0
113,236,부여,2019-12-05 17:00,0.4,3.0,55.0,7.0
114,236,부여,2019-12-05 18:00,-0.8,1.7,58.0,7.0
115,236,부여,2019-12-05 19:00,-1.2,2.5,57.0,0.0
116,236,부여,2019-12-05 20:00,-1.9,2.4,52.0,1.0
117,236,부여,2019-12-05 21:00,-2.7,2.1,53.0,0.0
118,236,부여,2019-12-05 22:00,-3.4,1.5,58.0,0.0
119,236,부여,2019-12-05 23:00,-3.9,1.2,63.0,0.0
120,236,부여,2019-12-06 0:00,-4.8,1.0,71.0,0.0
121,236,부여,2019-12-06 1:00,-5.1,1.3,70.0,0.0
122,236,부여,2019-12-06 2:00,-5.2,2.1,68.0,0.0
123,236,부여,2019-12-06 3:00,-6.9,0.7,79.0,0.0
124,236,부여,2019-12-06 4:00,-7.5,0.7,77.0,0.0
125,236,부여,2019-12-06 5:00,-7.0,1.5,64.0,0.0
126,236,부여,2019-12-06 6:00,-7.7,1.0,69.0,0.0
127,236,부여,2019-12-06 7:00,-8.8,0.8,77.0,0.0
128,236,부여,2019-12-06 8:00,-8.4,0.3,74.0,0.0
129,236,부여,2019-12-06 9:00,-6.2,0.8,58.0,0.0
130,236,부여,2019-12-06 10:00,-4.6,1.6,49.0,0.0
131,236,부여,2019-12-06 11:00,-2.3,1.1,46.0,0.0
132,236,부여,2019-12-06 12:00,-1.1,1.4,41.0,0.0
133,236,부여,2019-12-06 13:00,1.2,2.3,29.0,0.0
134,236,부여,2019-12-06 14:00,2.2,2.1,28.0,0.0
135,236,부여,2019-12-06 15:00,2.3,3.0,29.0,0.0
136,236,부여,2019-12-06 16:00,1.7,2.4,33.0,0.0
137,236,부여,2019-12-06 17:00,0.2,1.7,36.0,0.0
138,236,부여,2019-12-06 18:00,-1.5,1.1,43.0,0.0
139,236,부여,2019-12-06 19:00,-2.2,1.4,51.0,0.0
140,236,부여,2019-12-06 20:00,-3.7,0.8,60.0,0.0
141,236,부여,2019-12-06 21:00,-4.3,0.6,63.0,0.0
142,236,부여,2019-12-06 22:00,-5.5,0.0,78.0,0.0
143,236,부여,2019-12-06 23:00,-6.1,0.0,84.0,0.0
144,236,부여,2019-12-07 0:00,-6.8,0.0,84.0,0.0
145,236,부여,2019-12-07 1:00,-7.6,0.0,87.0,0.0
146,236,부여,2019-12-07 2:00,-7.9,0.1,89.0,0.0
147,236,부여,2019-12-07 3:00,-8.2,0.0,90.0,0.0
148,236,부여,2019-12-07 4:00,-6.3,0.2,85.0,2.0
149,236,부여,2019-12-07 5:00,-5.5,0.4,81.0,8.0
150,236,부여,2019-12-07 6:00,-5.0,0.1,82.0,7.0
151,236,부여,2019-12-07 7:00,-4.9,0.6,82.0,1.0
152,236,부여,2019-12-07 8:00,-5.7,0.2,88.0,0.0
153,236,부여,2019-12-07 9:00,-3.9,0.7,77.0,9.0
154,236,부여,2019-12-07 10:00,-1.6,0.3,64.0,3.0
155,236,부여,2019-12-07 11:00,1.0,0.4,58.0,2.0
156,236,부여,2019-12-07 12:00,3.8,0.8,51.0,1.0
157,236,부여,2019-12-07 13:00,5.9,2.1,50.0,8.0
158,236,부여,2019-12-07 14:00,6.1,1.2,51.0,8.0
159,236,부여,2019-12-07 15:00,6.1,1.0,56.0,9.0
160,236,부여,2019-12-07 16:00,5.8,0.8,62.0,9.0
161,236,부여,2019-12-07 17:00,5.0,1.0,73.0,8.0
162,236,부여,2019-12-07 18:00,4.4,0.4,76.0,0.0
163,236,부여,2019-12-07 19:00,1.9,0.3,83.0,5.0
164,236,부여,2019-12-07 20:00,0.1,0.2,91.0,1.0
165,236,부여,2019-12-07 21:00,-0.5,0.2,92.0,0.0
166,236,부여,2019-12-07 22:00,-1.1,0.0,95.0,0.0
167,236,부여,2019-12-07 23:00,-2.1,0.0,96.0,0.0
168,236,부여,2019-12-08 0:00,-2.2,0.1,97.0,2.0
169,236,부여,2019-12-08 1:00,-2.9,0.0,96.0,0.0
170,236,부여,2019-12-08 2:00,-3.5,0.0,96.0,0.0
171,236,부여,2019-12-08 3:00,-4.1,0.0,98.0,0.0
172,236,부여,2019-12-08 4:00,-4.4,0.0,98.0,0.0
173,236,부여,2019-12-08 5:00,-3.8,0.5,98.0,9.0
174,236,부여,2019-12-08 6:00,-3.9,0.3,98.0,1.0
175,236,부여,2019-12-08 7:00,-4.0,0.1,98.0,8.0
176,236,부여,2019-12-08 8:00,-3.9,0.3,98.0,6.0
177,236,부여,2019-12-08 9:00,-3.5,0.3,98.0,10.0
178,236,부여,2019-12-08 10:00,-2.7,0.7,99.0,9.0
179,236,부여,2019-12-08 11:00,-1.5,0.2,100.0,4.0
180,236,부여,2019-12-08 12:00,2.3,0.6,99.0,1.0
181,236,부여,2019-12-08 13:00,6.0,1.1,58.0,0.0
182,236,부여,2019-12-08 14:00,6.9,1.3,52.0,0.0
183,236,부여,2019-12-08 15:00,7.3,1.0,50.0,0.0
184,236,부여,2019-12-08 16:00,7.1,1.3,53.0,0.0
185,236,부여,2019-12-08 17:00,5.3,0.3,60.0,0.0
186,236,부여,2019-12-08 18:00,2.3,0.4,74.0,0.0
187,236,부여,2019-12-08 19:00,0.1,0.1,87.0,0.0
188,236,부여,2019-12-08 20:00,-0.6,0.3,90.0,0.0
189,236,부여,2019-12-08 21:00,-1.2,0.0,89.0,6.0
190,236,부여,2019-12-08 22:00,-1.8,0.0,92.0,10.0
191,236,부여,2019-12-08 23:00,-2.5,0.0,94.0,4.0
192,236,부여,2019-12-09 0:00,-2.9,0.0,95.0,1.0
193,236,부여,2019-12-09 1:00,-3.4,0.0,96.0,8.0
194,236,부여,2019-12-09 2:00,-4.0,0.1,95.0,2.0
195,236,부여,2019-12-09 3:00,-4.1,0.0,96.0,0.0
196,236,부여,2019-12-09 4:00,-4.6,0.0,95.0,0.0
197,236,부여,2019-12-09 5:00,-4.6,0.3,95.0,0.0
198,236,부여,2019-12-09 6:00,-4.8,0.1,95.0,0.0
199,236,부여,2019-12-09 7:00,-4.6,0.4,94.0,0.0
200,236,부여,2019-12-09 8:00,-4.3,0.0,97.0,0.0
201,236,부여,2019-12-09 9:00,-2.5,0.4,97.0,9.0
202,236,부여,2019-12-09 10:00,-0.4,0.7,91.0,9.0
203,236,부여,2019-12-09 11:00,2.0,0.6,80.0,8.0
204,236,부여,2019-12-09 12:00,3.4,0.7,70.0,6.0
205,236,부여,2019-12-09 13:00,5.8,1.0,60.0,5.0
206,236,부여,2019-12-09 14:00,7.7,0.3,57.0,5.0
207,236,부여,2019-12-09 15:00,10.3,1.2,54.0,0.0
208,236,부여,2019-12-09 16:00,10.4,1.6,58.0,1.0
209,236,부여,2019-12-09 17:00,9.3,1.6,62.0,2.0
210,236,부여,2019-12-09 18:00,8.0,1.1,67.0,0.0
211,236,부여,2019-12-09 19:00,5.6,0.2,76.0,0.0
212,236,부여,2019-12-09 20:00,3.8,0.1,84.0,0.0
213,236,부여,2019-12-09 21:00,3.4,0.2,86.0,0.0
214,236,부여,2019-12-09 22:00,2.2,0.1,90.0,3.0
215,236,부여,2019-12-09 23:00,1.2,0.0,93.0,0.0
216,236,부여,2019-12-10 0:00,0.8,0.0,95.0,8.0
217,236,부여,2019-12-10 1:00,0.7,0.0,96.0,10.0
218,236,부여,2019-12-10 2:00,1.5,0.4,94.0,0.0
219,236,부여,2019-12-10 3:00,1.6,0.4,93.0,6.0
220,236,부여,2019-12-10 4:00,1.4,0.0,95.0,10.0
221,236,부여,2019-12-10 5:00,0.8,0.1,95.0,0.0
222,236,부여,2019-12-10 6:00,1.5,0.3,95.0,9.0
223,236,부여,2019-12-10 7:00,1.9,0.0,96.0,8.0
224,236,부여,2019-12-10 8:00,1.0,0.0,97.0,4.0
225,236,부여,2019-12-10 9:00,2.2,0.1,94.0,4.0
226,236,부여,2019-12-10 10:00,4.6,0.1,87.0,8.0
227,236,부여,2019-12-10 11:00,8.0,0.3,78.0,7.0
228,236,부여,2019-12-10 12:00,11.1,0.5,72.0,6.0
229,236,부여,2019-12-10 13:00,13.1,1.7,69.0,5.0
230,236,부여,2019-12-10 14:00,12.9,0.5,70.0,6.0
231,236,부여,2019-12-10 15:00,13.5,3.8,65.0,5.0
232,236,부여,2019-12-10 16:00,13.2,2.5,66.0,4.0
233,236,부여,2019-12-10 17:00,11.8,0.9,73.0,3.0
234,236,부여,2019-12-10 18:00,9.8,0.3,80.0,0.0
235,236,부여,2019-12-10 19:00,6.8,0.0,91.0,0.0
236,236,부여,2019-12-10 20:00,5.0,0.0,95.0,3.0
237,236,부여,2019-12-10 21:00,4.0,0.0,97.0,8.0
238,236,부여,2019-12-10 22:00,3.0,0.0,98.0,8.0
239,236,부여,2019-12-10 23:00,3.0,0.6,99.0,3.0
240,236,부여,2019-12-11 0:00,1.1,0.0,99.0,4.0
241,236,부여,2019-12-11 1:00,1.7,0.0,100.0,6.0
242,236,부여,2019-12-11 2:00,2.1,0.1,99.0,8.0
243,236,부여,2019-12-11 3:00,1.7,0.1,100.0,8.0
244,236,부여,2019-12-11 4:00,0.9,0.3,100.0,8.0
245,236,부여,2019-12-11 5:00,1.3,0.1,100.0,9.0
246,236,부여,2019-12-11 6:00,1.2,0.0,100.0,7.0
247,236,부여,2019-12-11 7:00,1.5,0.2,100.0,7.0
248,236,부여,2019-12-11 8:00,1.9,0.0,99.0,10.0
249,236,부여,2019-12-11 9:00,3.2,0.3,96.0,4.0
250,236,부여,2019-12-11 10:00,7.4,1.1,90.0,9.0
251,236,부여,2019-12-11 11:00,10.5,0.4,88.0,9.0
252,236,부여,2019-12-11 12:00,10.6,2.0,80.0,9.0
253,236,부여,2019-12-11 13:00,10.0,2.3,72.0,9.0
254,236,부여,2019-12-11 14:00,11.5,4.3,52.0,6.0
255,236,부여,2019-12-11 15:00,10.3,4.0,50.0,5.0
256,236,부여,2019-12-11 16:00,9.2,3.2,52.0,6.0
257,236,부여,2019-12-11 17:00,7.1,2.8,55.0,4.0
258,236,부여,2019-12-11 18:00,6.1,3.7,52.0,0.0
259,236,부여,2019-12-11 19:00,5.4,3.1,54.0,0.0
260,236,부여,2019-12-11 20:00,4.4,1.7,54.0,0.0
261,236,부여,2019-12-11 21:00,3.7,0.8,56.0,4.0
262,236,부여,2019-12-11 22:00,4.2,1.8,52.0,5.0
263,236,부여,2019-12-11 23:00,3.9,1.1,56.0,6.0
264,236,부여,2019-12-12 0:00,3.2,1.4,60.0,0.0
265,236,부여,2019-12-12 1:00,1.5,1.6,71.0,2.0
266,236,부여,2019-12-12 2:00,1.2,0.6,72.0,0.0
267,236,부여,2019-12-12 3:00,1.8,1.3,65.0,0.0
268,236,부여,2019-12-12 4:00,1.0,1.3,67.0,0.0
269,236,부여,2019-12-12 5:00,-0.9,0.4,76.0,0.0
270,236,부여,2019-12-12 6:00,-1.9,0.5,81.0,0.0
271,236,부여,2019-12-12 7:00,0.0,1.2,66.0,0.0
272,236,부여,2019-12-12 8:00,-2.9,0.0,86.0,0.0
273,236,부여,2019-12-12 9:00,-0.3,0.2,75.0,0.0
274,236,부여,2019-12-12 10:00,2.4,0.7,57.0,0.0
275,236,부여,2019-12-12 11:00,3.8,2.3,48.0,0.0
276,236,부여,2019-12-12 12:00,4.9,1.9,44.0,0.0
277,236,부여,2019-12-12 13:00,5.6,2.6,41.0,0.0
278,236,부여,2019-12-12 14:00,6.1,2.6,40.0,0.0
279,236,부여,2019-12-12 15:00,6.0,2.9,37.0,0.0
280,236,부여,2019-12-12 16:00,5.8,2.5,40.0,3.0
281,236,부여,2019-12-12 17:00,4.3,2.2,43.0,0.0
282,236,부여,2019-12-12 18:00,2.1,0.8,51.0,0.0
283,236,부여,2019-12-12 19:00,1.4,1.2,53.0,0.0
284,236,부여,2019-12-12 20:00,0.5,1.5,61.0,0.0
285,236,부여,2019-12-12 21:00,-0.4,1.4,62.0,0.0
286,236,부여,2019-12-12 22:00,-2.1,0.2,72.0,1.0
287,236,부여,2019-12-12 23:00,-3.0,0.8,75.0,0.0
288,236,부여,2019-12-13 0:00,-3.6,0.2,84.0,0.0
289,236,부여,2019-12-13 1:00,-4.4,0.1,86.0,4.0
290,236,부여,2019-12-13 2:00,-5.1,0.2,89.0,0.0
291,236,부여,2019-12-13 3:00,-4.6,0.1,87.0,8.0
292,236,부여,2019-12-13 4:00,-5.5,0.1,90.0,8.0
293,236,부여,2019-12-13 5:00,-6.4,0.1,91.0,9.0
294,236,부여,2019-12-13 6:00,-5.9,0.1,92.0,0.0
295,236,부여,2019-12-13 7:00,-5.7,0.7,90.0,0.0
296,236,부여,2019-12-13 8:00,-5.5,0.9,90.0,2.0
297,236,부여,2019-12-13 9:00,-3.1,0.5,79.0,0.0
298,236,부여,2019-12-13 10:00,-0.8,0.9,70.0,0.0
299,236,부여,2019-12-13 11:00,2.4,0.6,59.0,6.0
300,236,부여,2019-12-13 12:00,4.2,1.2,43.0,5.0
301,236,부여,2019-12-13 13:00,5.6,1.5,35.0,6.0
302,236,부여,2019-12-13 14:00,6.6,0.7,25.0,7.0
303,236,부여,2019-12-13 15:00,6.8,0.8,24.0,8.0
304,236,부여,2019-12-13 16:00,7.1,0.5,23.0,0.0
305,236,부여,2019-12-13 17:00,5.1,0.0,29.0,0.0
306,236,부여,2019-12-13 18:00,2.4,0.0,40.0,5.0
307,236,부여,2019-12-13 19:00,0.7,0.1,53.0,6.0
308,236,부여,2019-12-13 20:00,-0.6,0.0,69.0,7.0
309,236,부여,2019-12-13 21:00,-0.6,0.1,69.0,9.0
310,236,부여,2019-12-13 22:00,-0.3,0.6,66.0,9.0
311,236,부여,2019-12-13 23:00,0.2,0.3,66.0,10.0
312,236,부여,2019-12-14 0:00,0.6,0.0,70.0,9.0
313,236,부여,2019-12-14 1:00,1.0,0.1,71.0,9.0
314,236,부여,2019-12-14 2:00,1.2,0.4,77.0,0.0
315,236,부여,2019-12-14 3:00,2.0,0.4,86.0,0.0
316,236,부여,2019-12-14 4:00,1.7,0.1,95.0,4.0
317,236,부여,2019-12-14 5:00,1.2,0.5,98.0,0.0
318,236,부여,2019-12-14 6:00,2.7,1.2,86.0,4.0
319,236,부여,2019-12-14 7:00,3.1,0.3,81.0,3.0
320,236,부여,2019-12-14 8:00,1.8,0.8,81.0,0.0
321,236,부여,2019-12-14 9:00,2.6,0.2,83.0,0.0
322,236,부여,2019-12-14 10:00,5.2,1.4,65.0,0.0
323,236,부여,2019-12-14 11:00,6.1,1.6,56.0,0.0
324,236,부여,2019-12-14 12:00,7.0,1.2,46.0,0.0
325,236,부여,2019-12-14 13:00,7.7,1.5,45.0,1.0
326,236,부여,2019-12-14 14:00,8.8,2.0,32.0,0.0
327,236,부여,2019-12-14 15:00,8.4,1.5,32.0,4.0
328,236,부여,2019-12-14 16:00,8.1,0.7,31.0,6.0
329,236,부여,2019-12-14 17:00,6.3,1.6,36.0,1.0
330,236,부여,2019-12-14 18:00,3.3,1.1,49.0,7.0
331,236,부여,2019-12-14 19:00,1.3,0.7,66.0,9.0
332,236,부여,2019-12-14 20:00,2.9,2.1,57.0,10.0
333,236,부여,2019-12-14 21:00,1.9,0.9,64.0,10.0
334,236,부여,2019-12-14 22:00,1.0,0.4,69.0,10.0
335,236,부여,2019-12-14 23:00,1.6,1.1,62.0,10.0
336,236,부여,2019-12-15 0:00,1.2,1.0,66.0,10.0
337,236,부여,2019-12-15 1:00,0.7,0.9,70.0,9.0
338,236,부여,2019-12-15 2:00,-0.3,0.8,78.0,10.0
339,236,부여,2019-12-15 3:00,-0.7,0.4,80.0,1.0
340,236,부여,2019-12-15 4:00,-1.9,0.9,86.0,4.0
341,236,부여,2019-12-15 5:00,-1.2,1.4,84.0,3.0
342,236,부여,2019-12-15 6:00,-2.8,0.3,91.0,0.0
343,236,부여,2019-12-15 7:00,-3.2,0.3,93.0,0.0
344,236,부여,2019-12-15 8:00,-2.0,1.3,88.0,0.0
345,236,부여,2019-12-15 9:00,-0.1,1.1,80.0,0.0
346,236,부여,2019-12-15 10:00,2.9,1.8,66.0,0.0
347,236,부여,2019-12-15 11:00,6.1,2.2,58.0,2.0
348,236,부여,2019-12-15 12:00,9.2,1.2,50.0,2.0
349,236,부여,2019-12-15 13:00,10.9,1.3,46.0,6.0
350,236,부여,2019-12-15 14:00,12.3,0.8,43.0,6.0
351,236,부여,2019-12-15 15:00,12.7,1.2,43.0,7.0
352,236,부여,2019-12-15 16:00,12.9,0.9,44.0,7.0
353,236,부여,2019-12-15 17:00,10.9,1.2,51.0,7.0
354,236,부여,2019-12-15 18:00,7.3,0.3,70.0,8.0
355,236,부여,2019-12-15 19:00,7.8,0.1,68.0,8.0
356,236,부여,2019-12-15 20:00,6.6,0.5,72.0,9.0
357,236,부여,2019-12-15 21:00,4.6,0.0,83.0,9.0
358,236,부여,2019-12-15 22:00,4.0,0.1,84.0,9.0
359,236,부여,2019-12-15 23:00,2.9,0.0,89.0,9.0
360,236,부여,2019-12-16 0:00,2.9,0.1,91.0,10.0
361,236,부여,2019-12-16 1:00,1.8,0.1,92.0,4.0
362,236,부여,2019-12-16 2:00,0.9,0.0,94.0,2.0
363,236,부여,2019-12-16 3:00,1.1,0.0,94.0,9.0
364,236,부여,2019-12-16 4:00,1.6,0.1,93.0,7.0
365,236,부여,2019-12-16 5:00,1.4,0.2,95.0,6.0
366,236,부여,2019-12-16 6:00,1.5,0.4,93.0,0.0
367,236,부여,2019-12-16 7:00,1.4,0.4,94.0,7.0
368,236,부여,2019-12-16 8:00,0.9,0.2,95.0,6.0
369,236,부여,2019-12-16 9:00,2.5,0.8,92.0,9.0
370,236,부여,2019-12-16 10:00,6.1,0.6,76.0,9.0
371,236,부여,2019-12-16 11:00,8.7,0.7,64.0,4.0
372,236,부여,2019-12-16 12:00,10.9,0.8,58.0,3.0
373,236,부여,2019-12-16 13:00,12.9,0.7,51.0,3.0
374,236,부여,2019-12-16 14:00,14.6,1.0,50.0,0.0
375,236,부여,2019-12-16 15:00,15.1,1.0,51.0,5.0
376,236,부여,2019-12-16 16:00,14.8,0.4,53.0,6.0
377,236,부여,2019-12-16 17:00,11.9,0.4,65.0,5.0
378,236,부여,2019-12-16 18:00,9.8,0.1,78.0,8.0
379,236,부여,2019-12-16 19:00,9.5,0.2,77.0,9.0
380,236,부여,2019-12-16 20:00,9.3,0.0,80.0,9.0
381,236,부여,2019-12-16 21:00,8.4,0.5,84.0,8.0
382,236,부여,2019-12-16 22:00,6.7,0.0,88.0,7.0
383,236,부여,2019-12-16 23:00,6.0,0.4,89.0,4.0
384,236,부여,2019-12-17 0:00,4.4,0.4,95.0,2.0
385,236,부여,2019-12-17 1:00,4.7,1.5,95.0,0.0
386,236,부여,2019-12-17 2:00,3.2,0.3,95.0,8.0
387,236,부여,2019-12-17 3:00,3.1,0.4,97.0,8.0
388,236,부여,2019-12-17 4:00,4.4,0.2,95.0,9.0
389,236,부여,2019-12-17 5:00,5.0,0.0,93.0,10.0
390,236,부여,2019-12-17 6:00,5.4,0.1,93.0,10.0
391,236,부여,2019-12-17 7:00,5.6,0.0,96.0,10.0
392,236,부여,2019-12-17 8:00,5.8,0.1,98.0,10.0
393,236,부여,2019-12-17 9:00,6.2,0.8,98.0,10.0
394,236,부여,2019-12-17 10:00,7.2,0.9,96.0,9.0
395,236,부여,2019-12-17 11:00,7.8,0.6,96.0,10.0
396,236,부여,2019-12-17 12:00,8.6,0.7,97.0,9.0
397,236,부여,2019-12-17 13:00,9.3,0.2,97.0,10.0
398,236,부여,2019-12-17 14:00,10.0,0.4,95.0,10.0
399,236,부여,2019-12-17 15:00,10.9,2.1,87.0,9.0
400,236,부여,2019-12-17 16:00,10.3,2.4,86.0,10.0
401,236,부여,2019-12-17 17:00,9.3,2.9,84.0,10.0
402,236,부여,2019-12-17 18:00,8.8,2.2,83.0,6.0
403,236,부여,2019-12-17 19:00,8.5,1.7,80.0,10.0
404,236,부여,2019-12-17 20:00,8.2,0.8,80.0,10.0
405,236,부여,2019-12-17 21:00,7.9,1.3,76.0,10.0
406,236,부여,2019-12-17 22:00,7.5,1.4,78.0,9.0
